Title,Link,Date Posted,Company,Location,Salary,Job Type
AI & Data Archiect,https://findajob.dwp.gov.uk/details/18244865,27 April 2026,Experis,EC8A 3FR,"£80,000 to £120,000 per year",Permanent
INFRASTRUCTURE ENGINEER,https://findajob.dwp.gov.uk/details/18200383,17 April 2026,G4S,"Cheltenham, Gloucestershire","£48,000 to £52,000 per year",On-site only
Engineering Teacher,https://findajob.dwp.gov.uk/details/18204316,17 April 2026,Class Act Teaching Services,"Banbury, South East, OX16 0UD",£168 to £261 per day,On-site only
Aircraft Planner,https://findajob.dwp.gov.uk/details/18161585,09 April 2026,Marshall of Cambridge Holdings Ltd,"Cambridge, Cambridgeshire, CB5 8RX",Not specified,Permanent
Quantity Surveyor(Civils and Landscaping) (Hybrid),https://findajob.dwp.gov.uk/details/18229305,23 April 2026,Professional Personnel Management Ltd,"Woking, Surrey, GU21 6GH","£50,000 to £70,000 per year",Permanent
Electronics Design Engineer,https://findajob.dwp.gov.uk/details/18196414,16 April 2026,Talent Finder,B98 9NB,"£24,626 to £46,841 per year",On-site only
Project Quality Engineer,https://findajob.dwp.gov.uk/details/18254291,28 April 2026,P+S Personnel Services Ltd,"Great Yarmouth, Norfolk",Not specified,On-site only
Electrical Engineer,https://findajob.dwp.gov.uk/details/18266437,30 April 2026,Capita plc,PO12 3BY,"£40,000 to £43,500 per year",On-site only
Aircraft Planner,https://findajob.dwp.gov.uk/details/18144603,07 April 2026,Marshall of Cambridge Holdings Ltd,"Cambridge, Cambridgeshire, CB5 8RX",Not specified,Permanent
"Computing Lecturer, Associate, Birmingham",https://findajob.dwp.gov.uk/details/18162530,10 April 2026,QA Ltd,"Birmingham, Midlands, B3 3PL",£50 per hour,Hybrid remote
"Computing Lecturer, Associate, London",https://findajob.dwp.gov.uk/details/18162531,10 April 2026,QA Ltd,"London, London, EC1R 4TF",£49.00 to £50.00 per hour,Hybrid remote
"Computing Lecturer, Associate, Manchester",https://findajob.dwp.gov.uk/details/18162532,10 April 2026,QA Ltd,"Manchester, North West, M1 6FQ",£50 per hour,Hybrid remote
