title,experience_level,company,location,city,date_posted,salary,link,job_type
34809 - Asset Performance Team Member,Entry-Level,Environment Agency,Kettering,Kettering,2026-04-20,"£29,751 per year",https://findajob.dwp.gov.uk/details/18210723,Hybrid remote
Engineering Recruitment Consultant,Entry-Level,KPI RECRUITING LTD,SM2 5AE,SM2 5AE,2026-04-20,Not specified,https://findajob.dwp.gov.uk/details/18212221,On-site only
Analytics Engineer | South London and Maudsley NHS Foundation Trust,Entry-Level,South London and Maudsley NHS Foundation Trust,"Croydon, CR0 1ER",Croydon,2026-04-16,"£61,631 - £68,623 Per annum",https://findajob.dwp.gov.uk/details/18194978,Permanent
Mechanical Engineer,Entry-Level,Marshall of Cambridge Holdings Ltd,"Cambridge, Cambridgeshire, CB5 8RX",Cambridge,2026-04-14,"£50,000 to £55,000 per year",https://findajob.dwp.gov.uk/details/18181460,Hybrid remote
Mechanical Shift Engineer,Entry-Level,Mitie,UB7 0EQ,UB7 0EQ,2026-04-10,Not specified,https://findajob.dwp.gov.uk/details/18164188,Permanent
Electrical Engineer,Entry-Level,The Best Connection Group Limited,"Swansea, Swansea, SA1 8QX",Swansea,2026-04-23,£13.00 to £15 per hour,https://findajob.dwp.gov.uk/details/18229485,Temporary
Lead Power BI Developer,Lead,Ipsum Utilities Limited,WA11 9UX,WA11 9UX,2026-04-17,Not specified,https://findajob.dwp.gov.uk/details/18203959,Permanent
Security Assurance Consultant,Entry-Level,Hays Specialist Recruitment,"London, London, E1 1AA",London,2026-04-21,£620.0 to £670.0 per day,https://findajob.dwp.gov.uk/details/18217726,Hybrid remote
Maintenance Engineer (1018),Entry-Level,Wills Consultants Ltd,"Coalville, Leicestershire",Coalville,2026-04-15,"£52,000 per year",https://findajob.dwp.gov.uk/details/18190102,On-site only
Training Delivery Instructor (Navigation Systems),Entry-Level,Capita plc,PO14 1AS,PO14 1AS,2026-04-14,"£40,000 to £41,265 per year",https://findajob.dwp.gov.uk/details/18180011,On-site only
Software Engineer – Gen AI (Full Stack),Entry-Level,I Net Software Solutions,"Hounslow, London",Hounslow,2026-04-29,"£55,000 to £58,000 per year",https://findajob.dwp.gov.uk/details/18259413,Hybrid remote
Data Analyst - Data Cleanse,Entry-Level,Hays Specialist Recruitment,"Birmingham, West Midlands, SW19 1TP",Birmingham,2026-04-30,£350 to £450 per day,https://findajob.dwp.gov.uk/details/18267016,Hybrid remote
Maintenance Engineer (1019),Entry-Level,Wills Consultants Ltd,"Thatcham, West Berkshire",Thatcham,2026-04-16,"£55,100 per year",https://findajob.dwp.gov.uk/details/18193891,On-site only
planning Engineer,Entry-Level,NRL Ltd,"Middlesbrough, Tyne-Tees, Stockton On Tees",Middlesbrough,2026-04-10,"£70,000 to £80,000 per day",https://findajob.dwp.gov.uk/details/18162557,Contract
